2.136689	1.832429	1
2.328681	1.760192	1
2.395761	2.524802	1
1.878350	2.595178	1
1.797507	2.225172	1
2.631516	1.648433	1
1.927302	2.369066	1
2.328071	2.204144	1
2.297827	2.234724	1
2.324775	2.320908	1
1.884271	2.337907	1
1.942866	1.788940	1
2.284613	1.951299	1
2.440745	2.212049	1
2.504529	1.749113	1
2.611557	2.214704	1
2.367776	2.576531	1
2.005826	1.773925	1
2.551222	2.344316	1
1.779348	1.676601	1
2.245091	2.048256	1
2.165560	2.101205	1
2.437999	1.913883	1
2.573348	2.325028	1
1.827232	1.665737	1
2.309638	2.556114	1
2.353859	1.922123	1
1.927088	1.890292	1
2.362801	1.714536	1
2.196811	2.393359	1
2.388162	2.132151	1
1.705890	2.307877	1
2.563247	2.091501	1
2.080108	2.385363	1
2.655718	2.230848	1
1.831626	2.343278	1
1.727833	1.929844	1
1.831626	2.447072	1
2.421641	2.453969	1
2.407907	2.217145	1
1.868920	2.224104	1
2.067565	2.261000	1
2.226536	2.211103	1
1.844810	2.230177	1
1.836540	2.455190	1
2.273351	1.902286	1
2.011350	1.710630	1
1.984249	2.388110	1
2.443797	2.215223	1
1.928492	2.463582	1
2.877868	2.732579	2
2.804135	3.163042	2
2.489947	2.535948	2
2.757442	3.198016	2
2.394394	2.637727	2
3.194620	2.490017	2
2.710718	2.401971	2
2.751613	2.666353	2
3.154793	3.028791	2
2.865752	2.575134	2
2.855132	3.105087	2
2.904724	2.898508	2
2.794461	2.280386	2
2.920380	2.891122	2
2.876037	3.067733	2
3.027683	2.243214	2
2.615012	2.769201	2
2.408554	3.069045	2
2.454881	2.526914	2
2.940980	3.020002	2
2.708979	2.498746	2
2.452654	2.523038	2
3.126685	3.159075	2
2.600058	3.143999	2
3.084967	2.724583	2
2.372268	3.075637	2
2.404801	2.705051	2
3.219980	2.751164	2
2.792538	2.579131	2
2.809262	2.582366	2
2.906281	2.595184	2
2.400620	2.823066	2
3.047337	2.696902	2
2.852812	2.557097	2
2.476580	2.574248	2
3.251720	2.811988	2
2.355910	2.839210	2
3.164315	2.796881	2
2.314679	2.326469	2
2.517566	2.265950	2
2.640983	2.519407	2
3.102393	3.006879	2
3.098181	3.100601	2
2.702417	2.453700	2
2.366164	2.627808	2
2.848051	2.425562	2
3.108039	2.334709	2
3.195230	2.989636	2
2.661126	3.056655	2
2.529438	2.449550	2
